# S&P 500 Companies by Market Cap
# Ticker,Name,Price
NVDA,Nvidia,191.27,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Tag_10
SYK,Stryker Corporation,362.53,0,0,0,0,0,0,0,0,0,1
COP,ConocoPhillips,110.75,0,0,1,1,1,1,1,1,1,1
NEM,Newmont,123.89,1,1,1,1,1,1,1,1,1,1
COF,Capital One,214.93,0,1,0,0,0,0,0,0,0,0
PLD,Prologis,140.35,1,0,0,0,0,1,0,0,0,0
MDT,Medtronic,100.87,0,1,0,1,0,0,1,1,1,1
CB,Chubb Limited,328.82,1,1,0,0,1,0,0,1,1,0
PH,Parker Hannifin,998.24,0,0,0,0,0,1,0,1,0,0
PGR,Progressive Corporation,209.33,1,1,1,1,1,1,1,1,1,1
BMY,Bristol Myers Squibb,60.18,0,0,0,1,1,0,1,1,1,0
HCA,HCA Healthcare,531.83,1,0,0,0,0,0,0,0,0,0
SPGI,S&P Global,396.65,0,1,1,1,0,0,1,0,1,0
CMCSA,Comcast,32.53,0,0,1,0,0,0,1,0,0,0
VRTX,Vertex Pharmaceuticals,459.93,1,0,0,1,0,1,0,1,1,1
MCK,McKesson Corporation,944.20,1,1,1,1,1,1,1,0,0,0
PANW,Palo Alto Networks,165.49,0,0,0,0,0,0,0,0,1,0
GLW,Corning Inc.,134.16,0,1,1,1,1,1,1,1,0,0
SBUX,Starbucks,99.03,0,1,1,1,1,1,1,0,1,0
INTU,Intuit,401.05,0,0,1,1,1,1,0,0,0,1
MO,Altria,65.72,0,0,1,0,1,1,1,1,1,1
BSX,Boston Scientific,73.76,0,0,0,0,1,0,1,0,1,0
CME,CME Group,303.44,0,0,1,0,1,0,0,1,0,0
NOW,ServiceNow,101.55,0,1,1,0,0,0,0,1,0,0
ADBE,Adobe Inc.,258.39,0,1,0,1,1,1,1,1,1,1
TT,Trane Technologies,473.75,1,1,1,0,1,1,1,1,0,0
CRWD,CrowdStrike,414.94,0,1,0,1,1,0,0,0,1,0
BX,Blackstone Inc.,133.29,1,0,0,0,0,0,0,0,0,0
UPS,United Parcel Service,119.93,1,1,1,0,1,0,0,0,0,0
SO,Southern Company,90.86,1,1,1,1,0,1,0,0,1,1
CEG,Constellation Energy,274.37,0,0,1,0,0,0,0,1,0,0
DUK,Duke Energy,124.86,0,1,1,0,1,0,0,0,0,1
CVS,CVS Health,76.36,1,1,0,1,1,1,1,1,0,1
MAR,Marriott International,360.71,0,0,0,0,0,0,0,1,0,0
NOC,Northrop Grumman,680.45,0,1,1,1,0,1,0,1,0,1
PNC,PNC Financial Services,237.28,1,1,1,1,1,1,1,1,1,1
WM,Waste Management,234.67,0,0,0,0,0,1,0,0,1,0
GD,General Dynamics,348.79,0,0,0,1,0,0,0,1,0,0
WDC,Western Digital,277.26,0,0,0,0,0,0,1,0,0,1
KKR,KKR,105.28,0,1,1,1,1,0,1,1,1,0
HWM,Howmet Aerospace,233.13,1,1,1,0,0,0,0,1,1,0
FCX,Freeport-McMoRan,65.30,1,0,1,1,1,1,1,1,1,1
NKE,Nike Inc.,62.43,1,1,1,1,1,1,1,1,1,1
USB,U.S. Bancorp,59.25,1,0,1,0,1,0,0,0,0,0
MMM,3M,173.46,1,0,0,0,0,0,1,0,0,0
SHW,Sherwin-Williams,364.16,1,1,1,1,0,0,1,0,1,0
RCL,Royal Caribbean Group,331.76,1,0,0,0,1,0,0,0,0,0
SNDK,Sandisk Corporation,607.86,0,1,0,0,1,1,0,0,1,1
STX,Seagate Technology,409.41,1,1,1,1,1,0,1,1,0,1
EMR,Emerson Electric,156.30,0,0,0,0,0,1,0,0,1,1
ADP,Automatic Data Processing,217.59,1,0,0,1,0,0,0,1,0,0
WMB,Williams Companies,71.48,1,1,1,1,0,1,0,0,0,0
ICE,Intercontinental Exchange,153.60,1,1,1,0,0,0,0,1,1,0
FDX,FedEx,368.49,0,0,0,1,0,0,0,1,0,0
ITW,Illinois Tool Works,298.50,0,1,1,1,1,1,0,1,1,1
JCI,Johnson Controls,140.75,0,1,0,1,1,1,1,1,1,1
CRH,CRH plc,127.89,1,1,0,1,1,1,1,1,1,1
ECL,Ecolab,301.35,0,1,1,1,0,1,1,0,0,1
EQIX,Equinix,863.66,0,1,1,1,1,0,1,0,0,0
BK,BNY Mellon,122.83,1,1,1,1,0,1,1,1,1,1
MRSH,Marsh & McLennan Companies Inc.,174.09,1,0,0,0,0,0,0,0,1,0
AMT,American Tower,179.46,1,1,0,1,0,1,0,0,0,1
CMI,Cummins,601.45,0,0,0,0,0,1,1,1,0,0
SNPS,Synopsys,433.56,1,1,1,1,1,1,1,1,1,1
REGN,Regeneron Pharmaceuticals,780.09,1,0,1,0,0,0,0,0,1,1
DELL,Dell Technologies,124.37,0,0,1,0,0,0,0,0,0,0
CDNS,Cadence Design Systems,298.74,1,1,1,0,1,1,1,0,1,1
CTAS,Cintas,201.10,0,0,0,1,0,1,0,0,1,1
ORLY,O'Reilly Auto Parts,93.87,0,1,0,1,1,0,0,0,1,1
MNST,Monster Beverage,80.88,0,0,0,0,1,1,1,1,0,0
MDLZ,Mondelez International,61.45,1,1,0,0,1,1,1,1,0,1
PWR,Quanta Services,523.69,1,0,0,1,1,1,1,1,1,1
CI,Cigna,292.46,1,1,0,0,1,0,1,1,0,0
CSX,CSX Corporation,41.30,1,1,0,1,0,0,1,1,1,1
CL,Colgate-Palmolive,95.04,0,1,1,1,0,1,0,0,0,1
SLB,Schlumberger,51.14,1,1,1,1,1,1,1,1,1,0
HLT,Hilton Worldwide,327.38,1,1,1,1,0,0,0,0,1,1
DASH,DoorDash,175.41,1,0,0,0,0,0,0,0,0,0
TDG,TransDigm Group,1325.26,0,0,0,0,0,0,1,0,0,0
MCO,Moody's Corporation,415.20,1,1,0,1,0,0,0,1,0,1
APO,Apollo Global Management,127.53,1,1,1,1,1,1,0,1,1,1
ELV,Elevance Health,329.59,1,1,0,1,1,1,1,1,1,1
ABNB,Airbnb,119.56,1,1,1,1,0,1,1,1,1,1
GM,General Motors,79.78,1,1,0,0,1,0,0,1,1,1
NSC,Norfolk Southern Railway,316.73,0,0,0,0,0,0,0,0,1,0
COR,Cencora,365.43,1,1,1,1,1,1,1,1,1,1
MSI,Motorola Solutions,423.10,1,1,1,1,1,1,1,1,1,0
KMI,Kinder Morgan,31.64,1,0,1,0,0,0,0,0,1,0
RSG,Republic Services,226.72,0,0,0,0,0,0,0,0,1,0
HOOD,Robinhood Markets Inc.,77.55,1,1,1,1,1,1,0,1,1,1
WBD,Warner Bros. Discovery,28.01,1,1,0,1,1,1,0,0,0,1
TFC,Truist Financial,54.42,0,1,0,0,0,0,0,0,0,0
PCAR,Paccar,129.93,0,0,1,0,0,0,0,0,0,0
AON,Aon,314.02,1,1,1,1,1,1,1,1,1,0
TEL,TE Connectivity,227.16,0,0,0,0,0,0,0,1,1,0
APD,Air Products,293.38,1,0,0,1,0,1,0,0,0,1
AEP,American Electric Power,122.18,0,0,1,1,1,1,1,1,0,1
FTNT,Fortinet,87.72,0,1,1,1,0,1,0,0,1,0
TRV,Travelers Companies (The),299.75,0,1,0,0,1,1,1,1,0,1
PSX,Phillips 66,161.13,1,0,1,0,1,0,0,0,1,1
LHX,L3Harris,341.14,1,1,1,1,1,1,1,1,1,1
EOG,EOG Resources,117.39,0,0,0,0,1,1,0,0,0,0
SPG,Simon Property Group,195.66,1,1,0,1,0,0,0,0,1,0
NXPI,NXP Semiconductors,249.26,0,1,1,0,1,1,1,1,0,0
ROST,Ross Stores,192.31,1,1,0,1,1,1,0,1,1,0
VLO,Valero Energy,203.89,0,0,0,0,1,0,0,0,0,0
AZO,AutoZone,3733.09,1,0,1,1,0,0,0,1,1,0
MPC,Marathon Petroleum,207.85,1,1,1,1,1,1,1,1,1,1
BKR,Baker Hughes,61.16,0,1,0,1,1,0,0,0,0,1
AFL,Aflac,116.20,0,0,1,0,1,1,0,1,0,1
DLR,Digital Realty,174.16,0,0,0,0,0,0,0,0,0,1
SRE,Sempra,90.83,1,0,1,1,0,1,0,1,0,1
O,Realty Income,64.39,1,1,1,1,1,1,1,1,0,1
MPWR,Monolithic Power Systems,1197.55,0,1,1,1,1,1,1,0,0,0
GWW,W. W. Grainger,1202.13,1,1,1,1,1,0,1,1,1,1
ZTS,Zoetis,128.19,0,0,1,0,1,0,0,0,1,0
CARR,Carrier Global,66.80,1,1,0,1,1,0,0,1,0,0
D,Dominion Energy,64.61,1,0,1,0,0,0,1,0,1,1
F,Ford Motor Company,13.78,1,0,1,1,1,1,0,1,0,1
URI,United Rentals,870.17,0,0,0,0,0,0,1,0,0,0
AME,Ametek,236.33,0,0,1,1,1,0,1,0,1,1
VST,Vistra Corp.,160.43,1,1,1,1,0,1,1,1,0,1
FAST,Fastenal,47.14,0,0,0,1,0,1,1,1,1,1
ALL,Allstate,205.91,1,0,0,1,0,1,0,0,1,1
OKE,ONEOK,85.03,0,0,0,1,0,0,0,1,0,0
AJG,Arthur J. Gallagher & Co.,207.61,1,1,1,1,1,0,1,1,1,1
CAH,Cardinal Health,225.15,0,0,1,1,1,0,1,1,0,1
CVNA,Carvana Co.,365.94,0,0,0,0,0,0,1,0,0,0
IDXX,Idexx Laboratories,647.63,1,1,1,1,0,1,1,1,1,1
MET,MetLife,78.87,1,0,1,1,0,0,1,0,1,1
TGT,Target Corporation,114.12,0,0,0,0,0,0,0,0,1,0
PSA,Public Storage,293.33,0,0,0,0,0,1,1,1,0,1
BDX,Becton Dickinson,179.62,1,0,1,1,0,1,0,1,1,0
CTVA,Corteva,75.48,0,0,0,0,0,0,0,0,1,0
TER,Teradyne,323.92,0,1,0,0,1,1,1,0,1,1
EA,Electronic Arts,201.72,0,1,0,1,0,1,0,1,1,1
ADSK,Autodesk,232.93,0,1,1,1,1,1,1,1,1,1
FITB,Fifth Third Bancorp,54.59,1,0,0,1,0,0,0,0,0,0
CMG,Chipotle Mexican Grill,37.35,1,0,1,1,1,1,1,1,1,1
FANG,Diamondback Energy,168.93,1,1,1,1,1,1,1,1,1,1
TRGP,Targa Resources,222.03,1,1,1,1,1,1,1,0,0,1
FIX,Comfort Systems USA Inc.,1345.62,0,0,0,0,0,0,1,0,0,1
DHI,D. R. Horton,163.35,1,1,1,1,1,1,1,1,1,1
HSY,Hershey Company (The),231.46,0,1,1,0,1,1,1,0,1,1
OXY,Occidental Petroleum,47.34,0,1,0,0,0,0,0,1,0,1
DAL,Delta Air Lines,71.16,1,0,0,1,0,1,0,1,1,0
ROK,Rockwell Automation,413.43,0,1,0,0,1,0,1,1,1,1
NDAQ,Nasdaq Inc.,81.05,0,0,1,0,1,0,0,1,1,1
XEL,Xcel Energy,77.79,0,1,1,1,1,0,0,0,0,0
EW,Edwards Lifesciences,78.67,0,1,0,1,0,0,1,0,1,0
CCL,Carnival,32.80,1,1,0,0,1,1,1,1,1,1
CBRE,CBRE Group,151.76,0,1,1,0,1,1,1,1,1,0
ETR,Entergy,100.79,0,1,1,1,1,1,1,0,1,1
EXC,Exelon,44.57,0,0,1,0,1,0,0,1,0,1
AMP,Ameriprise Financial,489.27,1,1,1,1,1,1,1,1,1,1
NUE,Nucor,194.78,1,0,0,0,0,0,1,0,0,1
DDOG,Datadog,126.70,0,0,1,0,1,0,0,1,1,0
YUM,Yum! Brands,160.35,1,0,1,1,1,1,1,1,1,0
MCHP,Microchip Technology,80.90,1,0,1,1,0,1,1,1,1,1
WAB,Wabtec,255.15,1,0,1,0,1,0,1,0,0,1
KR,Kroger,68.68,1,1,1,1,1,1,1,1,1,1
AIG,American International Group,79.36,0,1,0,1,1,1,0,0,0,0
VMC,Vulcan Materials Company,321.01,0,1,1,1,1,1,0,1,1,1
CIEN,Ciena Corporation,301.11,1,1,1,0,1,0,1,0,0,1
SYY,Sysco,88.04,1,1,1,1,1,1,1,1,1,1
PEG,Public Service Enterprise Group,83.85,1,1,1,1,1,1,1,1,1,1
COIN,Coinbase Global,152.61,1,0,0,0,0,0,0,0,0,1
ODFL,Old Dominion,195.74,0,0,0,1,0,1,1,0,0,0
KEYS,Keysight Technologies,237.88,0,0,0,0,1,0,1,0,0,0
KDP,Keurig Dr Pepper,29.84,1,0,0,1,1,1,1,1,0,1
VTR,Ventas,85.29,0,1,1,0,1,0,0,0,0,0
MLM,Martin Marietta Materials,663.38,1,1,1,1,1,1,1,1,1,1
GRMN,Garmin,206.52,1,1,1,0,0,0,0,0,0,0
ED,Consolidated Edison,109.36,0,1,1,1,0,0,1,0,0,1
HIG,Hartford (The),142.02,0,1,1,0,0,0,0,0,0,0
LVS,Las Vegas Sands,57.75,0,1,0,1,1,0,0,1,0,1
CPRT,Copart,39.73,0,1,1,1,1,1,0,0,0,0
EL,Estée Lauder Companies (The),106.09,1,1,1,1,1,1,1,1,1,1
IR,Ingersoll Rand,96.98,1,0,1,1,0,0,1,1,0,1
WDAY,Workday Inc.,145.19,0,0,0,0,0,1,0,1,0,1
MSCI,MSCI,519.16,1,1,1,1,1,1,1,1,1,1
TTWO,Take-Two Interactive,204.25,1,1,1,1,1,1,1,1,1,1
RMD,ResMed,259.29,1,1,1,0,1,1,0,1,1,0
EBAY,eBay,82.95,1,0,0,0,0,0,0,0,0,0
PCG,PG&E Corporation,17.02,1,1,1,1,0,0,1,0,0,1
CCI,Crown Castle,85.66,0,1,1,1,1,0,0,0,0,1
PYPL,PayPal,40.26,0,1,0,0,0,0,0,1,0,0
PRU,Prudential Financial,105.34,1,0,0,1,1,0,1,1,0,0
WEC,WEC Energy Group,113.19,0,0,0,0,1,0,0,1,1,1
UAL,United Airlines Holdings,113.50,1,1,1,1,0,1,0,0,0,0
STT,State Street Corporation,131.37,1,0,0,0,1,0,0,0,0,0
HBAN,Huntington Bancshares,18.02,0,1,1,0,0,0,0,0,0,0
A,Agilent Technologies,128.22,0,0,1,1,0,1,1,1,0,1
GEHC,GE HealthCare,79.29,0,0,0,1,0,0,0,0,0,0
MTB,M&T Bank,235.06,1,1,1,0,1,0,1,1,0,0
EME,EMCOR Group Inc.,803.53,1,1,1,0,1,1,1,1,1,1
ACGL,Arch Capital Group,98.49,0,0,1,0,0,0,0,0,1,1
KMB,Kimberly-Clark,107.35,0,0,0,1,0,0,0,0,0,0
ROP,Roper Technologies,333.96,1,0,1,0,0,1,1,1,0,1
EQT,EQT Corporation,56.73,1,0,1,1,0,1,0,1,1,0
KVUE,Kenvue,18.44,1,0,1,0,1,1,0,0,0,1
LYV,Live Nation Entertainment,150.60,0,0,1,0,1,0,0,0,0,1
OTIS,Otis Worldwide,89.85,1,1,0,0,0,1,0,0,1,0
AXON,Axon Enterprise,436.36,0,1,1,1,1,1,0,0,0,0
NRG,NRG Energy,160.11,1,1,0,0,1,0,0,0,0,1
CTSH,Cognizant,71.22,1,1,1,0,1,1,1,1,0,1
IBKR,Interactive Brokers Group,76.54,1,1,1,1,0,1,1,1,1,1
PAYX,Paychex,94.49,1,0,1,0,0,0,0,1,0,1
FISV,Fiserv Inc.,62.72,0,1,1,0,1,0,0,0,0,1
ADM,Archer Daniels Midland,69.24,1,1,1,1,1,1,1,1,1,1
XYZ,Block Inc.,53.87,0,0,0,0,0,1,1,0,0,0
FICO,Fair Isaac,1369.86,1,1,0,0,1,1,1,1,0,0
DG,Dollar General,147.49,1,0,0,1,1,1,0,1,0,0
DOV,Dover Corporation,232.52,0,0,1,0,0,1,1,1,0,0
ROL,Rollins Inc.,65.74,1,0,0,0,0,0,0,0,0,0
HPE,Hewlett Packard Enterprise,23.62,1,1,0,0,1,0,0,1,1,1
RJF,Raymond James Financial,159.60,0,0,1,1,0,1,0,0,0,1
TPR,Tapestry Inc.,154.43,0,1,1,1,1,0,1,1,1,1
VICI,Vici Properties,29.18,1,1,1,1,1,1,1,0,1,1
TDY,Teledyne Technologies,657.92,1,1,1,1,1,1,1,1,1,1
XYL,Xylem Inc.,126.71,0,0,0,0,0,1,0,1,0,0
CHTR,Charter Communications,241.08,1,1,1,1,1,1,1,1,1,1
ARES,Ares Management Corporation,137.90,0,0,1,1,1,0,1,0,0,1
ULTA,Ulta Beauty,684.25,0,0,0,0,0,1,0,0,0,1
STLD,Steel Dynamics,206.43,1,1,1,1,1,1,1,1,0,0
EXR,Extra Space Storage,142.02,1,1,1,0,1,0,0,0,1,1
LEN,Lennar,120.76,1,1,1,1,1,1,1,1,1,1
IQV,IQVIA,175.80,1,1,1,1,1,1,1,1,1,1
IRM,Iron Mountain,99.67,1,1,1,1,1,1,1,1,1,1
KHC,Kraft Heinz,24.88,1,1,0,0,0,0,0,1,0,0
PPG,PPG Industries,130.53,0,0,1,1,0,1,1,1,1,1
HAL,Halliburton,34.84,1,1,1,0,1,1,1,1,1,1
ATO,Atmos Energy,175.22,0,1,0,1,1,1,1,1,1,1
DTE,DTE Energy,139.17,1,1,1,1,0,1,1,0,0,0
TSCO,Tractor Supply,54.53,0,0,1,1,1,0,1,0,0,1
EXPE,Expedia Group,235.08,1,0,1,0,0,0,0,1,0,0
CFG,Citizens Financial Group,66.87,1,1,0,0,0,1,0,0,0,1
AEE,Ameren,106.08,0,0,0,0,0,1,1,0,0,1
TPL,Texas Pacific Land Corporation,416.14,0,1,1,1,1,1,1,1,1,0
CBOE,Cboe Global Markets,271.99,1,0,0,0,0,0,0,0,0,0
ON,ON Semiconductor,70.68,0,0,0,0,1,0,0,1,0,1
MTD,Mettler Toledo,1391.33,0,1,0,1,0,1,1,1,1,0
STZ,Constellation Brands,163.02,0,1,1,0,1,0,0,0,0,1
BIIB,Biogen,191.29,1,0,0,0,1,1,0,0,0,1
DVN,Devon Energy,44.78,1,1,1,1,1,0,1,1,1,1
FE,FirstEnergy,47.94,0,1,0,0,0,0,0,0,0,0
JBL,Jabil,260.92,0,0,1,0,0,0,1,0,0,0
NTRS,Northern Trust,147.45,1,0,0,0,0,0,0,0,0,0
HUBB,Hubbell Incorporated,513.63,1,0,1,0,0,0,1,1,1,0
WTW,Willis Towers Watson,282.86,0,0,1,1,1,1,0,0,0,1
WRB,W. R. Berkley Corporation,71.20,1,1,1,1,0,1,1,1,1,0
RF,Regions Financial Corporation,30.86,0,1,0,1,1,0,1,1,0,1
PHM,PulteGroup,139.04,0,1,1,0,0,1,0,0,0,0
CNP,CenterPoint Energy,40.91,1,1,1,1,1,1,1,1,0,1
PPL,PPL Corporation,35.97,1,1,1,1,1,1,1,1,1,1
DXCM,Dexcom,68.19,0,0,0,0,1,0,0,0,1,0
SW,Smurfit WestRock,50.23,1,1,1,1,1,1,1,1,1,1
ES,Eversource Energy,69.77,1,0,1,1,1,1,0,0,1,1
GIS,General Mills,48.40,0,1,1,1,1,1,1,1,1,0
EIX,Edison International,66.94,0,1,0,1,1,1,1,1,0,0
IP,International Paper,48.64,1,0,0,0,0,0,0,0,0,0
WSM,Williams-Sonoma,214.52,1,1,1,1,0,1,0,1,0,1
CINF,Cincinnati Financial,164.11,0,0,0,0,0,1,0,1,0,0
LUV,Southwest Airlines,51.66,1,1,0,1,0,1,1,1,1,0
AVB,AvalonBay Communities,179.80,1,0,0,0,0,0,1,0,0,0
SYF,Synchrony Financial,72.95,1,1,1,1,1,1,1,1,1,1
FIS,Fidelity National Information Services,48.73,1,1,0,0,1,1,1,0,0,1
KEY,KeyCorp,22.67,1,1,1,1,1,0,1,1,1,1
DLTR,Dollar Tree,125.35,1,1,1,1,1,1,1,0,1,1
EQR,Equity Residential,65.09,0,1,0,0,1,0,0,1,1,0
EXE,Expand Energy,103.09,1,0,0,1,1,0,0,1,1,0
DRI,Darden Restaurants,212.58,1,1,1,1,1,1,1,1,1,0
FSLR,First Solar,227.60,0,1,0,0,0,0,1,0,0,0
DOW,Dow Inc.,33.98,1,0,1,1,0,0,0,1,0,1
CPAY,Corpay,346.25,1,0,1,0,0,0,0,0,0,0
AWK,American Water Works,123.54,1,0,1,1,1,1,1,1,0,1
CHD,Church & Dwight,100.17,1,1,1,1,1,0,1,1,1,0
LH,LabCorp,289.08,1,1,1,1,1,1,1,0,1,0
VRSK,Verisk Analytics,171.87,0,0,1,1,1,0,0,0,0,0
Q,Qnity Electronics,114.06,1,0,0,1,0,1,1,1,1,0
CTRA,Coterra,31.48,1,0,0,0,1,0,1,1,0,0
STE,Steris,243.09,1,0,0,0,0,0,1,0,1,0
EFX,Equifax,197.29,1,1,0,0,0,0,0,0,0,0
VLTO,Veralto,95.33,1,1,1,1,1,1,1,1,1,1
BG,Bunge Global,121.39,1,0,0,0,1,0,0,1,1,0
DGX,Quest Diagnostics,209.53,1,1,0,1,0,0,1,1,1,0
CHRW,C.H. Robinson,196.77,0,1,0,1,1,1,1,0,1,1
AMCR,Amcor,49.62,0,1,1,1,1,0,1,0,1,0
TSN,Tyson Foods,64.52,0,0,0,0,0,1,0,0,0,0
L,Loews Corporation,110.15,0,0,0,0,1,0,1,0,0,0
CMS,CMS Energy,74.16,1,0,1,0,0,0,1,0,1,1
BRO,Brown & Brown,67.07,1,1,1,1,1,1,1,1,1,0
LDOS,Leidos,174.83,1,0,0,1,1,0,1,1,1,1
PKG,Packaging Corporation of America,244.06,0,1,1,0,0,0,0,0,0,0
JBHT,J.B. Hunt,231.62,1,0,0,0,1,1,1,0,1,1
OMC,Omnicom Group,69.53,0,0,0,1,0,0,0,0,0,0
EXPD,Expeditors International,163.06,0,1,1,0,1,1,1,1,1,1
RL,Ralph Lauren Corporation,359.55,0,0,1,0,0,0,0,0,0,1
NVR,NVR Inc.,8082.38,0,1,1,0,0,1,1,1,1,0
DD,DuPont,51.29,1,1,1,1,1,1,0,1,1,1
HUM,Humana,176.34,0,1,1,1,1,0,0,0,1,1
NI,NiSource,44.78,0,0,0,0,0,0,0,0,0,1
