#S&P 500 companies by market cap
#Ticker, Name, Price, Sector, Volatility score

VLO,Valero Energy,203.89,Energy,6
AZO,AutoZone,3733.09,Consumer Discretionary,3
MPC,Marathon Petroleum,207.85,Energy,6
BKR,Baker Hughes,61.16,Energy,5
AFL,Aflac,116.20,Financials,3
DLR,Digital Realty,174.16,Real Estate,4
SRE,Sempra,90.83,Utilities,2
O,Realty Income,64.39,Real Estate,2
MPWR,Monolithic Power Systems,1197.55,Technology,6
GWW,W. W. Grainger,1202.13,Industrials,3
ZTS,Zoetis,128.19,Health Care,4
CARR,Carrier Global,66.80,Industrials,4
D,Dominion Energy,64.61,Utilities,2
F,Ford Motor Company,13.78,Consumer Discretionary,5
URI,United Rentals,870.17,Industrials,6
AME,Ametek,236.33,Industrials,3
VST,Vistra Corp.,160.43,Energy,6
FAST,Fastenal,47.14,Industrials,3
ALL,Allstate,205.91,Financials,3
OKE,ONEOK,85.03,Energy,4
AJG,Arthur J. Gallagher & Co.,207.61,Financials,3
CAH,Cardinal Health,225.15,Health Care,3
CVNA,Carvana Co.,365.94,Consumer Discretionary,7
IDXX,Idexx Laboratories,647.63,Health Care,4
MET,MetLife,78.87,Financials,3
TGT,Target Corporation,114.12,Consumer Discretionary,4
PSA,Public Storage,293.33,Real Estate,3
BDX,Becton Dickinson,179.62,Health Care,3
CTVA,Corteva,75.48,Materials,4
TER,Teradyne,323.92,Technology,6
EA,Electronic Arts,201.72,Communication Services,4
ADSK,Autodesk,232.93,Technology,5
FITB,Fifth Third Bancorp,54.59,Financials,4
CMG,Chipotle Mexican Grill,37.35,Consumer Discretionary,5
FANG,Diamondback Energy,168.93,Energy,6
TRGP,Targa Resources,222.03,Energy,6
FIX,Comfort Systems USA Inc.,1345.62,Industrials,6
DHI,D. R. Horton,163.35,Consumer Discretionary,5
HSY,Hershey Company (The),231.46,Consumer Staples,2
OXY,Occidental Petroleum,47.34,Energy,6
DAL,Delta Air Lines,71.16,Consumer Discretionary,6
ROK,Rockwell Automation,413.43,Industrials,4
NDAQ,Nasdaq Inc.,81.05,Financials,3
XEL,Xcel Energy,77.79,Utilities,2
EW,Edwards Lifesciences,78.67,Health Care,4
CCL,Carnival,32.80,Consumer Discretionary,7
CBRE,CBRE Group,151.76,Real Estate,4
ETR,Entergy,100.79,Utilities,2
EXC,Exelon,44.57,Utilities,2
AMP,Ameriprise Financial,489.27,Financials,3
NUE,Nucor,194.78,Materials,5
DDOG,Datadog,126.70,Technology,7
YUM,Yum! Brands,160.35,Consumer Discretionary,3
MCHP,Microchip Technology,80.90,Technology,5
WAB,Wabtec,255.15,Industrials,4
KR,Kroger,68.68,Consumer Staples,2
AIG,American International Group,79.36,Financials,4
VMC,Vulcan Materials Company,321.01,Materials,4
CIEN,Ciena Corporation,301.11,Technology,6
SYY,Sysco,88.04,Consumer Staples,2
PEG,Public Service Enterprise Group,83.85,Utilities,2
COIN,Coinbase Global,152.61,Financials,7
ODFL,Old Dominion,195.74,Industrials,4
KEYS,Keysight Technologies,237.88,Technology,5
KDP,Keurig Dr Pepper,29.84,Consumer Staples,2
VTR,Ventas,85.29,Real Estate,3
MLM,Martin Marietta Materials,663.38,Materials,5
GRMN,Garmin,206.52,Technology,4
ED,Consolidated Edison,109.36,Utilities,1
HIG,Hartford (The),142.02,Financials,3
LVS,Las Vegas Sands,57.75,Consumer Discretionary,6
CPRT,Copart,39.73,Industrials,4
EL,Estée Lauder Companies (The),106.09,Consumer Staples,4
IR,Ingersoll Rand,96.98,Industrials,4
WDAY,Workday Inc.,145.19,Technology,6
MSCI,MSCI,519.16,Financials,3
TTWO,Take-Two Interactive,204.25,Communication Services,5
RMD,ResMed,259.29,Health Care,4
EBAY,eBay,82.95,Consumer Discretionary,4
PCG,PG&E Corporation,17.02,Utilities,5
CCI,Crown Castle,85.66,Real Estate,4
PYPL,PayPal,40.26,Financials,6
PRU,Prudential Financial,105.34,Financials,4
WEC,WEC Energy Group,113.19,Utilities,2
UAL,United Airlines Holdings,113.50,Consumer Discretionary,6
STT,State Street Corporation,131.37,Financials,3
HBAN,Huntington Bancshares,18.02,Financials,4
A,Agilent Technologies,128.22,Health Care,3
GEHC,GE HealthCare,79.29,Health Care,4
MTB,M&T Bank,235.06,Financials,3
EME,EMCOR Group Inc.,803.53,Industrials,5
ACGL,Arch Capital Group,98.49,Financials,3
KMB,Kimberly-Clark,107.35,Consumer Staples,2
ROP,Roper Technologies,333.96,Technology,4
EQT,EQT Corporation,56.73,Energy,5
KVUE,Kenvue,18.44,Consumer Staples,2
LYV,Live Nation Entertainment,150.60,Communication Services,6
OTIS,Otis Worldwide,89.85,Industrials,3
AXON,Axon Enterprise,436.36,Technology,6
NRG,NRG Energy,160.11,Utilities,5
CTSH,Cognizant,71.22,Technology,3
IBKR,Interactive Brokers Group,76.54,Financials,5
PAYX,Paychex,94.49,Technology,3
FISV,Fiserv Inc.,62.72,Financials,4
ADM,Archer Daniels Midland,69.24,Consumer Staples,3
XYZ,Block Inc.,53.87,Financials,7
FICO,Fair Isaac,1369.86,Technology,5
DG,Dollar General,147.49,Consumer Staples,3
DOV,Dover Corporation,232.52,Industrials,3
ROL,Rollins Inc.,65.74,Industrials,2
HPE,Hewlett Packard Enterprise,23.62,Technology,4
RJF,Raymond James Financial,159.60,Financials,4
TPR,Tapestry Inc.,154.43,Consumer Discretionary,5
VICI,Vici Properties,29.18,Real Estate,3
TDY,Teledyne Technologies,657.92,Technology,4
XYL,Xylem Inc.,126.71,Industrials,3
CHTR,Charter Communications,241.08,Communication Services,5
ARES,Ares Management Corporation,137.90,Financials,5
ULTA,Ulta Beauty,684.25,Consumer Discretionary,4
STLD,Steel Dynamics,206.43,Materials,5
EXR,Extra Space Storage,142.02,Real Estate,3
LEN,Lennar,120.76,Consumer Discretionary,5
IQV,IQVIA,175.80,Health Care,4
IRM,Iron Mountain,99.67,Real Estate,3
KHC,Kraft Heinz,24.88,Consumer Staples,2
PPG,PPG Industries,130.53,Materials,4
HAL,Halliburton,34.84,Energy,6
ATO,Atmos Energy,175.22,Utilities,2
DTE,DTE Energy,139.17,Utilities,2
TSCO,Tractor Supply,54.53,Consumer Discretionary,3
EXPE,Expedia Group,235.08,Consumer Discretionary,5
CFG,Citizens Financial Group,66.87,Financials,4
AEE,Ameren,106.08,Utilities,2
TPL,Texas Pacific Land Corporation,416.14,Energy,6
CBOE,Cboe Global Markets,271.99,Financials,3
ON,ON Semiconductor,70.68,Technology,6
MTD,Mettler Toledo,1391.33,Health Care,3
STZ,Constellation Brands,163.02,Consumer Staples,3
BIIB,Biogen,191.29,Health Care,5
DVN,Devon Energy,44.78,Energy,6
FE,FirstEnergy,47.94,Utilities,2
JBL,Jabil,260.92,Technology,5
NTRS,Northern Trust,147.45,Financials,3
HUBB,Hubbell Incorporated,513.63,Industrials,4
WTW,Willis Towers Watson,282.86,Financials,3
WRB,W. R. Berkley Corporation,71.20,Financials,3
RF,Regions Financial Corporation,30.86,Financials,4
PHM,PulteGroup,139.04,Consumer Discretionary,5
CNP,CenterPoint Energy,40.91,Utilities,2
PPL,PPL Corporation,35.97,Utilities,2
DXCM,Dexcom,68.19,Health Care,6
SW,Smurfit WestRock,50.23,Materials,4
ES,Eversource Energy,69.77,Utilities,2
GIS,General Mills,48.40,Consumer Staples,2
EIX,Edison International,66.94,Utilities,2
IP,International Paper,48.64,Materials,4
WSM,Williams-Sonoma,214.52,Consumer Discretionary,4
CINF,Cincinnati Financial,164.11,Financials,3
LUV,Southwest Airlines,51.66,Consumer Discretionary,5
AVB,AvalonBay Communities,179.80,Real Estate,3
SYF,Synchrony Financial,72.95,Financials,5
FIS,Fidelity National Information Services,48.73,Financials,4
KEY,KeyCorp,22.67,Financials,4
DLTR,Dollar Tree,125.35,Consumer Discretionary,4
EQR,Equity Residential,65.09,Real Estate,3
EXE,Expand Energy,103.09,Energy,5
DRI,Darden Restaurants,212.58,Consumer Discretionary,3
FSLR,First Solar,227.60,Energy,7
DOW,Dow Inc.,33.98,Materials,4
CPAY,Corpay,346.25,Financials,4
AWK,American Water Works,123.54,Utilities,1
CHD,Church & Dwight,100.17,Consumer Staples,2
LH,LabCorp,289.08,Health Care,3
VRSK,Verisk Analytics,171.87,Industrials,3
Q,Qnity Electronics,114.06,Technology,6
CTRA,Coterra,31.48,Energy,5
STE,Steris,243.09,Health Care,3
EFX,Equifax,197.29,Industrials,4
VLTO,Veralto,95.33,Industrials,3
BG,Bunge Global,121.39,Consumer Staples,4
DGX,Quest Diagnostics,209.53,Health Care,3
CHRW,C.H. Robinson,196.77,Industrials,4
AMCR,Amcor,49.62,Materials,3
TSN,Tyson Foods,64.52,Consumer Staples,3
L,Loews Corporation,110.15,Financials,3
CMS,CMS Energy,74.16,Utilities,2
BRO,Brown & Brown,67.07,Financials,3
LDOS,Leidos,174.83,Industrials,4
PKG,Packaging Corporation of America,244.06,Materials,3
JBHT,J.B. Hunt,231.62,Industrials,4
OMC,Omnicom Group,69.53,Communication Services,4
EXPD,Expeditors International,163.06,Industrials,3
RL,Ralph Lauren Corporation,359.55,Consumer Discretionary,5
NVR,NVR Inc.,8082.38,Consumer Discretionary,4
DD,DuPont,51.29,Materials,4
HUM,Humana,176.34,Health Care,4
NI,NiSource,44.78,Utilities,2
NTAP,NetApp,105.69,Technology,4
GPC,Genuine Parts Company,149.43,Consumer Discretionary,3
LULU,Lululemon Athletica,176.88,Consumer Discretionary,5
ALB,Albemarle Corporation,176.03,Materials,6
TROW,T. Rowe Price,94.24,Financials,4
PFG,Principal Financial Group,92.86,Financials,4
CSGP,CoStar Group,48.09,Real Estate,4
GPN,Global Payments,72.67,Financials,5
SBAC,SBA Communications,190.43,Real Estate,4
SNA,Snap-on,383.21,Industrials,3
CNC,Centene Corporation,40.26,Health Care,5
VRSN,Verisign,215.66,Technology,3
WAT,Waters Corporation,331.52,Health Care,3
IFF,International Flavors & Fragrances,76.65,Materials,4
BR,Broadridge Financial Solutions,167.88,Technology,3
WY,Weyerhaeuser,27.09,Real Estate,4
INCY,Incyte,99.35,Health Care,5
LII,Lennox International,553.57,Industrials,4
LYB,LyondellBasell,59.29,Materials,4
SMCI,Supermicro,31.69,Technology,7
MKC,McCormick & Company,70.30,Consumer Staples,2
ZBH,Zimmer Biomet,95.21,Health Care,3
PTC,PTC Inc.,155.52,Technology,5
FTV,Fortive,58.93,Industrials,3
VTRS,Viatris,16.02,Health Care,4
EVRG,Evergy,78.94,Utilities,2
BALL,Ball Corporation,67.29,Materials,4
HPQ,HP Inc.,19.63,Technology,4
WST,West Pharmaceutical Services,247.87,Health Care,4
PODD,Insulet Corporation,253.09,Health Care,6
APTV,Aptiv,83.64,Consumer Discretionary,5
CDW,CDW,135.32,Technology,3
LNT,Alliant Energy,68.17,Utilities,2
TXT,Textron,96.68,Industrials,4
ESS,Essex Property Trust,262.76,Real Estate,3
HOLX,Hologic,75.11,Health Care,4
J,Jacobs Solutions,142.70,Industrials,4
INVH,Invitation Homes,27.16,Real Estate,3
TKO,TKO Group Holdings,210.88,Communication Services,5
NDSN,Nordson Corporation,295.64,Industrials,3
DECK,Deckers Brands,115.15,Consumer Discretionary,5
PNR,Pentair,99.79,Industrials,3
COO,Cooper Companies (The),82.84,Health Care,3
MAA,Mid-America Apartment Communities,136.74,Real Estate,3
FFIV,F5 Inc.,282.22,Technology,4
MAS,Masco,76.24,Industrials,4
IEX,IDEX Corporation,211.28,Industrials,3
MRNA,Moderna,40.21,Health Care,7
TRMB,Trimble Inc.,65.06,Technology,5
ALLE,Allegion,179.40,Industrials,3
HII,Huntington Ingalls Industries,392.15,Industrials,4
CLX,Clorox,125.65,Consumer Staples,2
CF,CF Industries,97.23,Materials,5
GEN,Gen Digital,24.64,Technology,4
AVY,Avery Dennison,192.77,Materials,3
KIM,Kimco Realty,21.96,Real Estate,3
HAS,Hasbro,105.26,Consumer Discretionary,5
ERIE,Erie Indemnity,279.84,Financials,2
TYL,Tyler Technologies,339.51,Technology,4
UHS,Universal Health Services,231.22,Health Care,4
BEN,Franklin Resources,27.64,Financials,5
ALGN,Align Technology,197.24,Health Care,6
SOLV,Solventum,81.25,Health Care,4
BBY,Best Buy,66.84,Consumer Discretionary,5
REG,Regency Centers,76.49,Real Estate,3
SWK,Stanley Black & Decker,90.31,Industrials,5
BF.B,Brown–Forman,30.11,Consumer Staples,2
BLDR,Builders FirstSource,125.44,Industrials,6
HST,Host Hotels & Resorts,19.98,Real Estate,4
AKAM,Akamai Technologies,95.00,Technology,4
EG,Everest Group,331.67,Financials,3
UDR,UDR Inc.,39.84,Real Estate,3
TTD,The Trade Desk Inc.,27.19,Technology,7
HRL,Hormel Foods,23.79,Consumer Staples,2
DPZ,Domino's,385.50,Consumer Discretionary,4
ZBRA,Zebra Technologies,250.71,Technology,5
GNRC,Generac,214.94,Industrials,6
FOX,Fox Corporation (Class B),56.02,Communication Services,4
FOXA,Fox Corporation (Class A),61.76,Communication Services,4
GDDY,GoDaddy,91.44,Technology,5
PSKY,Paramount Skydance Corp,10.96,Communication Services,6
WYNN,Wynn Resorts,115.18,Consumer Discretionary,6
JKHY,Jack Henry & Associates,165.63,Technology,3
CPT,Camden Property Trust,111.66,Real Estate,3
DOC,Healthpeak Properties,16.95,Real Estate,3
SJM,J.M. Smucker Company (The),109.98,Consumer Staples,2
IVZ,Invesco,26.42,Financials,5
AES,AES Corporation,16.45,Utilities,4
IT,Gartner,160.21,Technology,4
GL,Globe Life,144.35,Financials,3
BAX,Baxter International,22.30,Health Care,4
PNW,Pinnacle West,95.57,Utilities,2
RVTY,Revvity,100.89,Health Care,4
AOS,A. O. Smith,80.03,Industrials,3
AIZ,Assurant,216.77,Financials,3
TAP,Molson Coors Beverage Company,52.98,Consumer Staples,3
NCLH,Norwegian Cruise Line Holdings,22.76,Consumer Discretionary,7
POOL,Pool Corporation,270.70,Consumer Discretionary,4
EPAM,EPAM Systems,180.79,Technology,6
APA,APA Corporation,28.11,Energy,6
TECH,Bio-Techne,63.46,Health Care,4
MOS,Mosaic Company (The),31.21,Materials,5
BXP,BXP Inc.,61.61,Real Estate,4
DVA,DaVita,144.55,Health Care,4
SWKS,Skyworks Solutions,63.62,Technology,6
HSIC,Henry Schein,81.21,Health Care,3
CAG,Conagra Brands,19.95,Consumer Staples,2
MGM,MGM Resorts,36.39,Consumer Discretionary,6
ARE,Alexandria Real Estate Equities,53.92,Real Estate,4
FRT,Federal Realty Investment Trust,107.14,Real Estate,3
CPB,Campbell Soup Company,29.16,Consumer Staples,2
NWSA,News Corp (Class A),23.30,Communication Services,4
CRL,Charles River Laboratories,164.83,Health Care,5
MTCH,Match Group,31.27,Communication Services,6
FDS,FactSet,193.29,Financials,3
LW,Lamb Weston,50.33,Consumer Staples,4
PAYC,Paycom,117.68,Technology,5
MOH,Molina Healthcare,122.46,Health Care,4
NWS,News Corp (Class B),26.91,Communication Services,4
