# S&P 500 Companies by Market Cap
# Ticker,Name,Price
Ticker,Name,Price,Tag,Volatility
UBER,Uber,70.72,Industrial,6
LMT,Lockheed Martin,630.54,Finance,1
WELL,Welltower,208.65,Energy,5
ACN,Accenture,230.79,Consumer,1
BKNG,Booking Holdings,4322.85,Health,1
SYK,Stryker Corporation,362.53,Tech,6
COP,ConocoPhillips,110.75,Consumer,1
NEM,Newmont,123.89,Utilities,7
COF,Capital One,214.93,Finance,4
PLD,Prologis,140.35,Utilities,7
MDT,Medtronic,100.87,Energy,5
CB,Chubb Limited,328.82,Real Estate,3
PH,Parker Hannifin,998.24,Telecom,5
PGR,Progressive Corporation,209.33,Materials,2
BMY,Bristol Myers Squibb,60.18,Materials,7
HCA,HCA Healthcare,531.83,Health,2
SPGI,S&P Global,396.65,Materials,6
CMCSA,Comcast,32.53,Telecom,7
VRTX,Vertex Pharmaceuticals,459.93,Materials,2
MCK,McKesson Corporation,944.20,Materials,5
PANW,Palo Alto Networks,165.49,Utilities,5
GLW,Corning Inc.,134.16,Finance,1
SBUX,Starbucks,99.03,Consumer,6
INTU,Intuit,401.05,Materials,6
MO,Altria,65.72,Real Estate,7
BSX,Boston Scientific,73.76,Tech,4
CME,CME Group,303.44,Real Estate,5
NOW,ServiceNow,101.55,Industrial,1
ADBE,Adobe Inc.,258.39,Consumer,1
TT,Trane Technologies,473.75,Telecom,5
CRWD,CrowdStrike,414.94,Telecom,6
BX,Blackstone Inc.,133.29,Real Estate,3
UPS,United Parcel Service,119.93,Materials,7
SO,Southern Company,90.86,Utilities,3
CEG,Constellation Energy,274.37,Energy,2
DUK,Duke Energy,124.86,Health,6
CVS,CVS Health,76.36,Energy,7
MAR,Marriott International,360.71,Health,2
NOC,Northrop Grumman,680.45,Energy,5
PNC,PNC Financial Services,237.28,Finance,7
WM,Waste Management,234.67,Materials,3
GD,General Dynamics,348.79,Finance,3
WDC,Western Digital,277.26,Real Estate,6
KKR,KKR,105.28,Tech,7
HWM,Howmet Aerospace,233.13,Industrial,4
FCX,Freeport-McMoRan,65.30,Health,6
NKE,Nike Inc.,62.43,Health,6
USB,U.S. Bancorp,59.25,Energy,4
MMM,3M,173.46,Health,6
SHW,Sherwin-Williams,364.16,Telecom,6
RCL,Royal Caribbean Group,331.76,Consumer,3
SNDK,Sandisk Corporation,607.86,Health,6
STX,Seagate Technology,409.41,Health,5
EMR,Emerson Electric,156.30,Utilities,7
ADP,Automatic Data Processing,217.59,Finance,2
WMB,Williams Companies,71.48,Industrial,7
ICE,Intercontinental Exchange,153.60,Industrial,4
FDX,FedEx,368.49,Finance,1
ITW,Illinois Tool Works,298.50,Telecom,7
JCI,Johnson Controls,140.75,Real Estate,6
CRH,CRH plc,127.89,Consumer,7
ECL,Ecolab,301.35,Telecom,4
EQIX,Equinix,863.66,Energy,2
BK,BNY Mellon,122.83,Tech,7
MRSH,Marsh & McLennan Companies Inc.,174.09,Real Estate,4
AMT,American Tower,179.46,Health,2
CMI,Cummins,601.45,Consumer,5
SNPS,Synopsys,433.56,Consumer,2
REGN,Regeneron Pharmaceuticals,780.09,Health,6
DELL,Dell Technologies,124.37,Industrial,3
CDNS,Cadence Design Systems,298.74,Utilities,1
CTAS,Cintas,201.10,Finance,7
ORLY,O'Reilly Auto Parts,93.87,Health,4
MNST,Monster Beverage,80.88,Health,4
MDLZ,Mondelez International,61.45,Health,2
PWR,Quanta Services,523.69,Materials,7
CI,Cigna,292.46,Tech,4
CSX,CSX Corporation,41.30,Real Estate,6
CL,Colgate-Palmolive,95.04,Materials,5
SLB,Schlumberger,51.14,Finance,7
HLT,Hilton Worldwide,327.38,Energy,4
DASH,DoorDash,175.41,Real Estate,6
TDG,TransDigm Group,1325.26,Industrial,5
MCO,Moody's Corporation,415.20,Energy,4
APO,Apollo Global Management,127.53,Real Estate,4
ELV,Elevance Health,329.59,Energy,1
ABNB,Airbnb,119.56,Materials,7
GM,General Motors,79.78,Tech,2
NSC,Norfolk Southern Railway,316.73,Consumer,5
COR,Cencora,365.43,Energy,7
MSI,Motorola Solutions,423.10,Tech,7
KMI,Kinder Morgan,31.64,Finance,4
RSG,Republic Services,226.72,Energy,3
HOOD,Robinhood Markets Inc.,77.55,Real Estate,1
WBD,Warner Bros. Discovery,28.01,Health,6
TFC,Truist Financial,54.42,Industrial,6
PCAR,Paccar,129.93,Industrial,6
AON,Aon,314.02,Health,6
TEL,TE Connectivity,227.16,Materials,2
APD,Air Products,293.38,Consumer,5
AEP,American Electric Power,122.18,Energy,2
FTNT,Fortinet,87.72,Health,7
TRV,Travelers Companies (The),299.75,Utilities,3
PSX,Phillips 66,161.13,Tech,5
LHX,L3Harris,341.14,Real Estate,6
EOG,EOG Resources,117.39,Utilities,6
SPG,Simon Property Group,195.66,Tech,4
NXPI,NXP Semiconductors,249.26,Real Estate,6
ROST,Ross Stores,192.31,Finance,4
VLO,Valero Energy,203.89,Industrial,7
AZO,AutoZone,3733.09,Industrial,3
MPC,Marathon Petroleum,207.85,Utilities,4
BKR,Baker Hughes,61.16,Telecom,1
AFL,Aflac,116.20,Utilities,3
DLR,Digital Realty,174.16,Finance,7
SRE,Sempra,90.83,Energy,3
O,Realty Income,64.39,Telecom,7
MPWR,Monolithic Power Systems,1197.55,Industrial,5
GWW,W. W. Grainger,1202.13,Telecom,2
ZTS,Zoetis,128.19,Industrial,5
CARR,Carrier Global,66.80,Consumer,3
D,Dominion Energy,64.61,Finance,3
F,Ford Motor Company,13.78,Utilities,1
URI,United Rentals,870.17,Telecom,1
AME,Ametek,236.33,Industrial,4
VST,Vistra Corp.,160.43,Industrial,2
FAST,Fastenal,47.14,Health,7
ALL,Allstate,205.91,Industrial,2
OKE,ONEOK,85.03,Utilities,3
AJG,Arthur J. Gallagher & Co.,207.61,Health,1
CAH,Cardinal Health,225.15,Industrial,6
CVNA,Carvana Co.,365.94,Finance,6
IDXX,Idexx Laboratories,647.63,Industrial,5
MET,MetLife,78.87,Energy,5
TGT,Target Corporation,114.12,Industrial,1
PSA,Public Storage,293.33,Health,2
BDX,Becton Dickinson,179.62,Consumer,5
CTVA,Corteva,75.48,Telecom,3
TER,Teradyne,323.92,Industrial,4
EA,Electronic Arts,201.72,Industrial,2
ADSK,Autodesk,232.93,Real Estate,1
FITB,Fifth Third Bancorp,54.59,Tech,2
CMG,Chipotle Mexican Grill,37.35,Telecom,3
FANG,Diamondback Energy,168.93,Telecom,2
TRGP,Targa Resources,222.03,Utilities,7
FIX,Comfort Systems USA Inc.,1345.62,Tech,6
DHI,D. R. Horton,163.35,Real Estate,3
HSY,Hershey Company (The),231.46,Real Estate,2
OXY,Occidental Petroleum,47.34,Finance,1
DAL,Delta Air Lines,71.16,Health,1
ROK,Rockwell Automation,413.43,Industrial,6
NDAQ,Nasdaq Inc.,81.05,Utilities,6
XEL,Xcel Energy,77.79,Materials,7
EW,Edwards Lifesciences,78.67,Energy,5
CCL,Carnival,32.80,Materials,1
CBRE,CBRE Group,151.76,Telecom,1
ETR,Entergy,100.79,Materials,1
EXC,Exelon,44.57,Materials,7
AMP,Ameriprise Financial,489.27,Utilities,1
NUE,Nucor,194.78,Materials,3
DDOG,Datadog,126.70,Utilities,4
YUM,Yum! Brands,160.35,Real Estate,1
MCHP,Microchip Technology,80.90,Industrial,1
WAB,Wabtec,255.15,Energy,2
KR,Kroger,68.68,Finance,2
AIG,American International Group,79.36,Health,1
VMC,Vulcan Materials Company,321.01,Real Estate,4
CIEN,Ciena Corporation,301.11,Industrial,2
SYY,Sysco,88.04,Energy,6
PEG,Public Service Enterprise Group,83.85,Finance,2
COIN,Coinbase Global,152.61,Energy,2
ODFL,Old Dominion,195.74,Utilities,3
KEYS,Keysight Technologies,237.88,Health,5
KDP,Keurig Dr Pepper,29.84,Utilities,3
VTR,Ventas,85.29,Consumer,3
MLM,Martin Marietta Materials,663.38,Real Estate,6
GRMN,Garmin,206.52,Health,7
ED,Consolidated Edison,109.36,Industrial,3
HIG,Hartford (The),142.02,Consumer,2
LVS,Las Vegas Sands,57.75,Energy,5
CPRT,Copart,39.73,Industrial,1
EL,Estée Lauder Companies (The),106.09,Utilities,4
IR,Ingersoll Rand,96.98,Materials,4
WDAY,Workday Inc.,145.19,Materials,5
MSCI,MSCI,519.16,Energy,5
TTWO,Take-Two Interactive,204.25,Energy,7
RMD,ResMed,259.29,Telecom,1
EBAY,eBay,82.95,Real Estate,7
PCG,PG&E Corporation,17.02,Tech,7
CCI,Crown Castle,85.66,Finance,5
PYPL,PayPal,40.26,Telecom,1
PRU,Prudential Financial,105.34,Health,6
WEC,WEC Energy Group,113.19,Finance,1
UAL,United Airlines Holdings,113.50,Tech,2
STT,State Street Corporation,131.37,Energy,6
HBAN,Huntington Bancshares,18.02,Health,2
A,Agilent Technologies,128.22,Tech,2
GEHC,GE HealthCare,79.29,Real Estate,5
MTB,M&T Bank,235.06,Health,7
EME,EMCOR Group Inc.,803.53,Consumer,4
ACGL,Arch Capital Group,98.49,Industrial,3
KMB,Kimberly-Clark,107.35,Energy,1
ROP,Roper Technologies,333.96,Industrial,3
EQT,EQT Corporation,56.73,Health,1
KVUE,Kenvue,18.44,Tech,6
LYV,Live Nation Entertainment,150.60,Health,3
OTIS,Otis Worldwide,89.85,Materials,7
AXON,Axon Enterprise,436.36,Finance,4
NRG,NRG Energy,160.11,Telecom,6
CTSH,Cognizant,71.22,Telecom,1
IBKR,Interactive Brokers Group,76.54,Health,5
PAYX,Paychex,94.49,Telecom,4
FISV,Fiserv Inc.,62.72,Health,2
ADM,Archer Daniels Midland,69.24,Energy,5
XYZ,Block Inc.,53.87,Utilities,1
FICO,Fair Isaac,1369.86,Finance,2
DG,Dollar General,147.49,Finance,3
DOV,Dover Corporation,232.52,Health,3
ROL,Rollins Inc.,65.74,Real Estate,3
HPE,Hewlett Packard Enterprise,23.62,Tech,2
RJF,Raymond James Financial,159.60,Finance,5
TPR,Tapestry Inc.,154.43,Real Estate,2
VICI,Vici Properties,29.18,Utilities,7
TDY,Teledyne Technologies,657.92,Utilities,4
XYL,Xylem Inc.,126.71,Finance,4
CHTR,Charter Communications,241.08,Real Estate,6
ARES,Ares Management Corporation,137.90,Telecom,1
ULTA,Ulta Beauty,684.25,Consumer,5
STLD,Steel Dynamics,206.43,Energy,1
EXR,Extra Space Storage,142.02,Utilities,2
LEN,Lennar,120.76,Consumer,4
IQV,IQVIA,175.80,Industrial,3
IRM,Iron Mountain,99.67,Utilities,3
KHC,Kraft Heinz,24.88,Finance,1
PPG,PPG Industries,130.53,Industrial,3
HAL,Halliburton,34.84,Utilities,5
ATO,Atmos Energy,175.22,Materials,4
DTE,DTE Energy,139.17,Utilities,3
TSCO,Tractor Supply,54.53,Energy,1
EXPE,Expedia Group,235.08,Energy,6
CFG,Citizens Financial Group,66.87,Tech,5
AEE,Ameren,106.08,Tech,1
TPL,Texas Pacific Land Corporation,416.14,Utilities,4
CBOE,Cboe Global Markets,271.99,Utilities,5
ON,ON Semiconductor,70.68,Tech,7
MTD,Mettler Toledo,1391.33,Materials,7
STZ,Constellation Brands,163.02,Tech,5
BIIB,Biogen,191.29,Real Estate,7
DVN,Devon Energy,44.78,Energy,7
FE,FirstEnergy,47.94,Health,2
JBL,Jabil,260.92,Utilities,4
NTRS,Northern Trust,147.45,Materials,4
HUBB,Hubbell Incorporated,513.63,Utilities,4
WTW,Willis Towers Watson,282.86,Energy,2
WRB,W. R. Berkley Corporation,71.20,Energy,7
RF,Regions Financial Corporation,30.86,Health,3
PHM,PulteGroup,139.04,Energy,3
CNP,CenterPoint Energy,40.91,Materials,3
PPL,PPL Corporation,35.97,Energy,6
DXCM,Dexcom,68.19,Telecom,4
SW,Smurfit WestRock,50.23,Energy,4
ES,Eversource Energy,69.77,Materials,1
GIS,General Mills,48.40,Health,4
EIX,Edison International,66.94,Health,7
IP,International Paper,48.64,Energy,3
WSM,Williams-Sonoma,214.52,Finance,2
CINF,Cincinnati Financial,164.11,Telecom,4
LUV,Southwest Airlines,51.66,Materials,7
AVB,AvalonBay Communities,179.80,Utilities,7
SYF,Synchrony Financial,72.95,Tech,7
FIS,Fidelity National Information Services,48.73,Materials,4
KEY,KeyCorp,22.67,Tech,1
DLTR,Dollar Tree,125.35,Industrial,7
EQR,Equity Residential,65.09,Health,7
EXE,Expand Energy,103.09,Industrial,7
DRI,Darden Restaurants,212.58,Real Estate,1
FSLR,First Solar,227.60,Real Estate,5
DOW,Dow Inc.,33.98,Industrial,3
CPAY,Corpay,346.25,Materials,3
AWK,American Water Works,123.54,Health,4
CHD,Church & Dwight,100.17,Tech,2
LH,LabCorp,289.08,Telecom,4
VRSK,Verisk Analytics,171.87,Utilities,1
Q,Qnity Electronics,114.06,Industrial,4
CTRA,Coterra,31.48,Telecom,6
STE,Steris,243.09,Materials,4
EFX,Equifax,197.29,Materials,1
VLTO,Veralto,95.33,Energy,4
BG,Bunge Global,121.39,Telecom,3
DGX,Quest Diagnostics,209.53,Utilities,6
CHRW,C.H. Robinson,196.77,Energy,2
AMCR,Amcor,49.62,Tech,4
TSN,Tyson Foods,64.52,Tech,2
L,Loews Corporation,110.15,Telecom,1
CMS,CMS Energy,74.16,Utilities,6
BRO,Brown & Brown,67.07,Materials,4
LDOS,Leidos,174.83,Real Estate,4
PKG,Packaging Corporation of America,244.06,Industrial,7
JBHT,J.B. Hunt,231.62,Consumer,7
OMC,Omnicom Group,69.53,Materials,2
EXPD,Expeditors International,163.06,Materials,5
RL,Ralph Lauren Corporation,359.55,Industrial,5
NVR,NVR Inc.,8082.38,Energy,7
DD,DuPont,51.29,Tech,2
HUM,Humana,176.34,Consumer,2
NI,NiSource,44.78,Consumer,3
NTAP,NetApp,105.69,Industrial,1
GPC,Genuine Parts Company,149.43,Health,2
LULU,Lululemon Athletica,176.88,Energy,2
ALB,Albemarle Corporation,176.03,Health,2
TROW,T. Rowe Price,94.24,Utilities,3
PFG,Principal Financial Group,92.86,Real Estate,3
CSGP,CoStar Group,48.09,Industrial,5
GPN,Global Payments,72.67,Health,7
SBAC,SBA Communications,190.43,Tech,1
SNA,Snap-on,383.21,Energy,2
CNC,Centene Corporation,40.26,Health,7
VRSN,Verisign,215.66,Tech,3
WAT,Waters Corporation,331.52,Real Estate,6
IFF,International Flavors & Fragrances,76.65,Utilities,2
BR,Broadridge Financial Solutions,167.88,Industrial,3
WY,Weyerhaeuser,27.09,Finance,5
INCY,Incyte,99.35,Consumer,1
LII,Lennox International,553.57,Telecom,1
LYB,LyondellBasell,59.29,Utilities,4
SMCI,Supermicro,31.69,Energy,6
MKC,McCormick & Company,70.30,Consumer,4
ZBH,Zimmer Biomet,95.21,Industrial,3
PTC,PTC Inc.,155.52,Industrial,5
FTV,Fortive,58.93,Real Estate,5
VTRS,Viatris,16.02,Utilities,6
EVRG,Evergy,78.94,Industrial,3
BALL,Ball Corporation,67.29,Materials,6
HPQ,HP Inc.,19.63,Real Estate,2
WST,West Pharmaceutical Services,247.87,Industrial,4
PODD,Insulet Corporation,253.09,Industrial,2
APTV,Aptiv,83.64,Telecom,5
CDW,CDW,135.32,Consumer,7
LNT,Alliant Energy,68.17,Energy,4
TXT,Textron,96.68,Utilities,5
ESS,Essex Property Trust,262.76,Health,2
HOLX,Hologic,75.11,Energy,5
J,Jacobs Solutions,142.70,Utilities,6
INVH,Invitation Homes,27.16,Tech,5
TKO,TKO Group Holdings,210.88,Finance,6
NDSN,Nordson Corporation,295.64,Real Estate,5
DECK,Deckers Brands,115.15,Industrial,4
PNR,Pentair,99.79,Industrial,6
COO,Cooper Companies (The),82.84,Consumer,3
MAA,Mid-America Apartment Communities,136.74,Tech,7
FFIV,F5 Inc.,282.22,Consumer,5
MAS,Masco,76.24,Tech,6
IEX,IDEX Corporation,211.28,Tech,3
MRNA,Moderna,40.21,Telecom,2
TRMB,Trimble Inc.,65.06,Tech,5
ALLE,Allegion,179.40,Tech,6
HII,Huntington Ingalls Industries,392.15,Utilities,4
CLX,Clorox,125.65,Consumer,5
CF,CF Industries,97.23,Health,3
GEN,Gen Digital,24.64,Finance,4
AVY,Avery Dennison,192.77,Real Estate,2
KIM,Kimco Realty,21.96,Materials,7
HAS,Hasbro,105.26,Telecom,6
ERIE,Erie Indemnity,279.84,Energy,2
TYL,Tyler Technologies,339.51,Industrial,4
UHS,Universal Health Services,231.22,Consumer,7
BEN,Franklin Resources,27.64,Tech,1
ALGN,Align Technology,197.24,Consumer,3
SOLV,Solventum,81.25,Real Estate,1
BBY,Best Buy,66.84,Consumer,4
REG,Regency Centers,76.49,Utilities,3
SWK,Stanley Black & Decker,90.31,Materials,7
BF.B,Brown–Forman,30.11,Energy,6
BLDR,Builders FirstSource,125.44,Utilities,2
HST,Host Hotels & Resorts,19.98,Finance,5
AKAM,Akamai Technologies,95.00,Energy,2
EG,Everest Group,331.67,Health,2
UDR,UDR Inc.,39.84,Industrial,1
TTD,The Trade Desk Inc.,27.19,Telecom,2
HRL,Hormel Foods,23.79,Telecom,5
DPZ,Domino's,385.50,Energy,3
ZBRA,Zebra Technologies,250.71,Industrial,3
GNRC,Generac,214.94,Consumer,2
FOX,Fox Corporation (Class B),56.02,Finance,7
FOXA,Fox Corporation (Class A),61.76,Materials,3
GDDY,GoDaddy,91.44,Industrial,1
PSKY,Paramount Skydance Corp,10.96,Energy,1
WYNN,Wynn Resorts,115.18,Tech,1
JKHY,Jack Henry & Associates,165.63,Consumer,5
CPT,Camden Property Trust,111.66,Telecom,2
DOC,Healthpeak Properties,16.95,Industrial,5
SJM,J.M. Smucker Company (The),109.98,Consumer,5
IVZ,Invesco,26.42,Finance,7
AES,AES Corporation,16.45,Health,3
IT,Gartner,160.21,Industrial,2
GL,Globe Life,144.35,Health,6
BAX,Baxter International,22.30,Real Estate,5
PNW,Pinnacle West,95.57,Utilities,4
RVTY,Revvity,100.89,Real Estate,3
AOS,A. O. Smith,80.03,Industrial,7
AIZ,Assurant,216.77,Tech,2
TAP,Molson Coors Beverage Company,52.98,Industrial,2
NCLH,Norwegian Cruise Line Holdings,22.76,Real Estate,7
POOL,Pool Corporation,270.70,Materials,6
EPAM,EPAM Systems,180.79,Health,4
APA,APA Corporation,28.11,Consumer,2
TECH,Bio-Techne,63.46,Finance,4
MOS,Mosaic Company (The),31.21,Energy,3
BXP,BXP Inc.,61.61,Telecom,7
DVA,DaVita,144.55,Telecom,5
SWKS,Skyworks Solutions,63.62,Tech,6
HSIC,Henry Schein,81.21,Telecom,7
CAG,Conagra Brands,19.95,Industrial,7
MGM,MGM Resorts,36.39,Consumer,3
ARE,Alexandria Real Estate Equities,53.92,Telecom,4
FRT,Federal Realty Investment Trust,107.14,Telecom,3
CPB,Campbell Soup Company,29.16,Telecom,7
NWSA,News Corp (Class A),23.30,Energy,1
CRL,Charles River Laboratories,164.83,Tech,7
MTCH,Match Group,31.27,Telecom,2
FDS,FactSet,193.29,Consumer,4
LW,Lamb Weston,50.33,Tech,7
PAYC,Paycom,117.68,Energy,7
MOH,Molina Healthcare,122.46,Utilities,7
NWS,News Corp (Class B),26.91,Finance,6
